gid,geometry
다사487449,"POLYGON ((126.91959867254307 37.50284371175543, 126.92073000615581 37.502849265059666, 126.92073696968924 37.50194794494289, 126.9196056496747 37.501942391818396, 126.91959867254307 37.50284371175543))"
다사486450,"POLYGON ((126.91846034820001 37.503739467235015, 126.91959169510069 37.503745031553485, 126.91959867254307 37.50284371175543, 126.91846733924113 37.502838147617055, 126.91846034820001 37.503739467235015))"
다사486449,"POLYGON ((126.91846733924113 37.502838147617055, 126.91959867254307 37.50284371175543, 126.9196056496747 37.501942391818396, 126.9184743299709 37.501936827860106, 126.91846733924113 37.502838147617055))"
다사480466,"POLYGON ((126.91155906836943 37.518126931374404, 126.91269063105356 37.51813256361542, 126.91269769512078 37.51723124712744, 126.91156614604499 37.51722561506869, 126.91155906836943 37.518126931374404))"
다사479466,"POLYGON ((126.9104275060006 37.51812128829334, 126.91155906836943 37.518126931374404, 126.91156614604499 37.51722561506869, 126.91043459728449 37.517219972170246, 126.9104275060006 37.51812128829334))"
다사481467,"POLYGON ((126.91268356667169 37.51903387996437, 126.91381514327945 37.51903950154726, 126.91382219405233 37.51813818501639, 126.91269063105356 37.51813256361542, 126.91268356667169 37.51903387996437))"
다사479465,"POLYGON ((126.91043459728449 37.517219972170246, 126.91156614604499 37.51722561506869, 126.91157322340533 37.51632429862396, 126.91044168825252 37.516318655908144, 126.91043459728449 37.517219972170246))"
다사479467,"POLYGON ((126.91042041440083 37.519022604277374, 126.91155199037861 37.51902824754107, 126.91155906836943 37.518126931374404, 126.9104275060006 37.51812128829334, 126.91042041440083 37.519022604277374))"
다사481465,"POLYGON ((126.91269769512078 37.51723124712744, 126.91382924451119 37.517236868346494, 126.913836294656 37.51633555153759, 126.91270475887332 37.51632993050044, 126.91269769512078 37.51723124712744))"
다사481466,"POLYGON ((126.91269063105356 37.51813256361542, 126.91382219405233 37.51813818501639, 126.91382924451119 37.517236868346494, 126.91269769512078 37.51723124712744, 126.91269063105356 37.51813256361542))"
다사468449,"POLYGON ((126.89810339363936 37.50273614049892, 126.89923472124377 37.50274189965022, 126.89924194313964 37.50184058300849, 126.8981106291331 37.501834824043584, 126.89810339363936 37.50273614049892))"
다사468448,"POLYGON ((126.8981106291331 37.501834824043584, 126.89924194313964 37.50184058300849, 126.89924916471384 37.500939266227704, 126.89811786430457 37.500933507449204, 126.8981106291331 37.501834824043584))"
